,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL101008,39.7061150616,3.21981977291,4,2,4,4,0,4,4,0,4,4,4,0,4,4,3,1,4,3,4,0,4,4,4,0
CHEMBL102347,-15.5694071541,7.75072404741,4,4,4,0,0,4,4,0,4,4,4,0,4,4,3,1,4,3,4,0,4,4,4,0
CHEMBL103479,-16.6254457092,18.2337921843,1,3,0,3,3,0,2,3,3,4,4,4,3,1,2,3,4,1,3,3,2,4,4,4
CHEMBL104,6.83997691745,-5.25104050261,3,3,3,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
CHEMBL104088,-28.8344961183,4.85573235725,4,4,4,4,0,3,0,0,4,2,0,1,4,4,3,1,4,3,1,0,4,4,0,1
CHEMBL104308,-7.79028610198,9.97174752193,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL104636,-6.97273707079,9.35542092597,2,3,2,3,1,1,3,1,2,2,0,1,0,0,4,4,3,3,1,1,4,2,0,1
CHEMBL104709,-8.34846373814,9.74398308439,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL104903,-8.36926547002,10.5027202845,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL105261,-18.3305618532,18.3425585049,1,3,0,0,3,0,2,0,3,4,4,3,3,1,2,3,4,4,3,4,2,4,4,2
CHEMBL105372,-7.97476094458,10.118269787,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL10602,-22.0237661849,0.446021611176,4,4,4,4,0,3,0,0,2,2,0,0,0,2,3,1,4,3,1,0,4,3,0,0
CHEMBL106176,-7.7877042032,8.68852605631,2,3,2,3,1,1,3,1,2,2,0,1,0,0,4,4,3,3,1,1,4,2,0,1
CHEMBL1065,25.1263433045,1.39198439044,2,0,2,0,4,1,4,0,3,4,3,0,3,2,2,3,4,4,1,0,3,0,2,0
CHEMBL106794,-9.12492392371,9.85860002205,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL106911,-8.87672634863,10.3407383528,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL1076586,-7.23175727302,23.1511388676,1,3,0,2,1,2,1,2,3,3,0,1,3,0,2,3,3,4,3,2,3,4,1,2
CHEMBL10780,-25.478783208,2.29160201944,4,4,4,4,0,3,0,0,2,2,0,0,4,4,3,1,4,3,1,0,4,3,0,0
CHEMBL107847,-8.81026088005,11.3199320118,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL107860,-8.76389461698,10.9143948361,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL107912,-9.25629630441,10.784216575,2,3,2,3,1,1,3,1,2,2,0,1,0,3,4,4,3,3,1,1,4,2,0,1
CHEMBL1079460,-14.0713125237,20.3437871504,4,3,4,4,3,4,3,3,3,3,3,4,3,0,2,4,2,2,2,4,0,4,4,4
CHEMBL1080155,-6.32776678694,21.3371604889,1,3,0,2,1,3,1,2,3,3,0,1,1,3,2,3,3,4,3,2,3,4,1,2
CHEMBL1080389,-7.48948572451,22.3843043323,1,3,0,2,1,3,1,2,3,3,0,1,1,3,2,3,3,4,3,2,3,4,1,2
CHEMBL1080556,-6.71415110729,22.5908326811,1,3,0,2,1,3,1,2,3,3,0,1,1,4,2,3,3,4,3,2,3,4,1,2
CHEMBL1080735,-6.22743456376,22.7859568874,1,3,0,2,1,3,1,2,3,3,0,1,1,3,2,3,3,4,3,2,3,4,1,2
CHEMBL1080755,-6.68500759176,21.3042019623,1,3,0,2,1,3,1,2,3,3,0,1,1,3,2,3,3,4,3,2,3,4,1,2
CHEMBL1080884,-0.976934281292,44.2987273116,4,4,2,3,4,4,4,4,4,4,4,4,0,3,4,4,4,4,4,4,3,4,4,4
CHEMBL1080907,-6.35974292749,22.7369215618,1,3,0,2,1,3,1,2,3,3,0,1,1,4,2,3,3,4,3,2,3,4,1,2
CHEMBL1080926,-7.68326254459,22.3924966302,1,3,0,2,1,3,1,2,3,3,0,1,1,3,2,3,3,4,3,2,3,4,1,2
CHEMBL1081212,-6.68292141526,21.8150989951,1,3,0,2,1,3,1,2,3,3,0,1,1,4,2,3,3,4,3,2,3,4,1,2
CHEMBL1081254,-6.51773944286,21.575879463,1,3,0,2,1,3,1,2,3,3,0,1,1,4,2,3,3,4,3,2,3,4,1,2
CHEMBL1081648,-6.96850677589,21.575744366,1,3,0,2,1,3,1,2,3,3,0,1,1,4,2,3,3,4,3,2,3,4,1,2
